Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 200","Triticum sp.","Triticum","sp.","Triticum","","Wheat","","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.798084","-16.908427","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 25","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1995","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.866684","-17.170608","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 3","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Common wheat","1995","PRT","Portugal","300) Traditional cultivar/Landrace","","","33.0702","-16.301409","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 7","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1996","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.737982","-17.180948","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 51","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1996","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.866684","-17.170608","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 193","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1996","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.703833","-17.121166","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 184","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1996","PRT","Portugal","300) Traditional cultivar/Landrace","","","41.485355","-7.180871","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 50","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1996","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.866684","-17.170608","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 181","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1996","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.69958","-17.11172","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 198","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Common wheat","1996","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.689282","-16.79074","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 106","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1997","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.820333","-16.885166","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 90","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1997","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.759333","-17.205333","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 104","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1997","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.8035","-16.875833","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 109","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1997","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.75573","-17.20198","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 191","Triticum sp.","Triticum","sp.","Triticum","","Wheat","1997","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.799","-16.87133","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"PRT","Portugal","PRT102","PRT102 - Banco de Germoplasma - Universidade da Madeira","ISOP 101","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Common wheat","1997","PRT","Portugal","300) Traditional cultivar/Landrace","","","32.672","-17.026166","20) Farm or cultivated habitat","12) Seed medium-term;13) Seed long-term","Included","","Banco de Germoplasma - Universidade da Madeira","http://www.fao.org/wiews/data/organizations/en/?instcode=PRT102","FAO-WIEWS (http://www.fao.org/wiews)"
