INSTCODE,ACRONYM,ECPACRONYM,FULL_NAME,TYPE,GENEBANK_LONG_TERM_COLLECTIONS,BOTANICAL_GARDEN,GENEBANK_MEDIUM_TERM_COLLECTIONS,GENEBANK_SHORT_TERM_COLLECTIONS,STREET_POB,CITY_STATE,ZIP_CODE,PHONE,FAX,EMAIL,URL,LATITUDE,LONGITUDE,ALTITUDE,UPDATED_ON,V_INSTCODE,ISO3
AFG001,PGRU,,"Plant Genetic Resources Unit, Crop Improvement Division, Ministry of Agriculture",Governmental,,,1,,,Kabul,,,,,,34.3,69.1,null,12/12/2014,AFG001,AFG
AFG002,ARIA,,Agriculture Research Institute of Afghanistan,Governmental,1,0,1,0,,Kabul,,,,,,34.3,69.1,null,21/08/2020,AFG002,AFG
AFG003,,,"Faculty of Agriculture, Kabul University",Governmental,,,,,,Kabul,,,,,,null,null,null,12/12/2014,AFG003,AFG
AFG004,FAO,,FAO Representation,United Nations,,,,,P.O. Box 1476,Islamabad,,(92-51)279081,(92-51)824371,FAO-PAK@field.fao.org,,null,null,null,12/12/2014,AFG004,AFG
AFG005,UNDP,,United Nations Development Programme,United Nations,,,,,P.O. Box 5,Kabul,,,(00873)1505152,,,null,null,null,12/12/2014,AFG005,AFG
AFG006,,,Ministry of Agriculture Irrigation and Livestock,Governmental,,,,,,Kabul,,,,,https://www.mail.gov.af/en,null,null,null,24/08/2020,AFG006,AFG
AGO001,IIA,,Institut de Recherche Agronomique,Governmental,,,,,CP 406,Huambo,,Huambo 3811,,,,null,null,null,12/12/2014,AGO001,AGO
AGO002,,,"Centre de Recherche Scientifique sur le Coton, Institut du Coton d'Angola",Governmental,,,,,,,,,,,,null,null,null,12/12/2014,AGO002,AGO
AGO003,,,Station Expérimentale,Governmental,,,,,,Onga-Zanga,,,,,,null,null,null,12/12/2014,AGO003,AGO
AGO004,,,Station Expérimentale,Governmental,,,,,,Catete,,,,,,null,null,null,12/12/2014,AGO004,AGO
AGO005,NPGRC,,"Comité National sur les Ressources Phytogénétiques, Département de Biologie, Faculté des Sciences, Université Agostinho Neto",Governmental,,,,,"CP 815, Av. 4 Fevereiro 71",Luanda,,(244-2)321688,(244-2)331225,fitogen@ebonet.net,,null,null,null,12/12/2014,AGO005,AGO
AGO006,DNOPA,,Direction Nationale pour la Production Agricole,Governmental,,,,,CP 406,Huambo,,Huambo 2796,,,,null,null,null,12/12/2014,AGO006,AGO
